participant_id,day,session_type,session_index,session_label,trial_id,target_word,typed_text,start_time,end_time,duration_ms,num_characters_typed,target_length,error_count,character_error_rate,event_log_file,run_dir,wpm,entry_seconds,accuracy,errors_per_phrase,has_error
P01,1,experiment,3,experiment_3,trial_001,snore,snore,1780566436265,1780566449231,12966,5,5,0,0.0,experiment_3/trial_001_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,6.075949367088608,7.9,1.0,0.0,0.0
P01,1,experiment,3,experiment_3,trial_002,stone,stone,1780566449232,1780566463546,14314,5,5,0,0.0,experiment_3/trial_002_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,3.7842951750236526,12.684,1.0,0.0,0.0
P01,1,experiment,3,experiment_3,trial_003,learn,learn,1780566463548,1780566472116,8568,5,5,0,0.0,experiment_3/trial_003_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,8.647090614303728,5.551,1.0,0.0,0.0
P01,1,experiment,3,experiment_3,trial_004,later,leter,1780566472117,1780566479199,7082,5,5,1,0.2,experiment_3/trial_004_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,8.371119637251482,5.734,0.8,1.0,1.0
P01,1,experiment,3,experiment_3,trial_005,alert,alert,1780566479200,1780566487165,7965,5,5,0,0.0,experiment_3/trial_005_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,8.02139037433155,5.984,1.0,0.0,0.0
P01,1,experiment,3,experiment_3,trial_006,alone,alone,1780566487166,1780566495316,8150,5,5,0,0.0,experiment_3/trial_006_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,7.44186046511628,6.45,1.0,0.0,0.0
P01,1,experiment,3,experiment_3,trial_007,least,least,1780566495317,1780566510750,15433,5,5,0,0.0,experiment_3/trial_007_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,3.6638424547744446,13.101,1.0,0.0,0.0
P01,1,experiment,3,experiment_3,trial_008,toast,toast,1780566510752,1780566532820,22068,5,5,0,0.0,experiment_3/trial_008_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,2.4164317358034637,19.864,1.0,0.0,0.0
P01,1,experiment,3,experiment_3,trial_009,stare,stere,1780566532822,1780566539634,6812,5,5,1,0.2,experiment_3/trial_009_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,10.784093462143339,4.451,0.8,1.0,1.0
P01,1,experiment,3,experiment_3,trial_010,slate,slate,1780566539635,1780566546986,7351,5,5,0,0.0,experiment_3/trial_010_events.csv,/Users/yejipark/Documents/GitHub/Gaze_experiments/data/P01/day_1,9.764035801464605,4.916,1.0,0.0,0.0
