participant_id,day,mental,physical,temporal,performance,effort,frustration,RTLX
P01,1,10,3,14,15,15,5,8.67
P01,2,13,0,15,16,13,3,8.0
P01,3,13,3,15,13,13,5,9.33
P02,1,3,5,10,8,15,5,8.33
P02,2,3,7,8,5,15,5,8.83
P02,3,3,8,5,3,15,3,8.5
